,title,year,month,genre,duration,country,language,budget,total_gross,net_income,critic_reviews,user_reviews,metascore,meta_hit
27295,Il fuggitivo,1993,9,"Action, Crime, Drama",130,USA,"English, Polish, Spanish",44000000,368875760,324875760,130.0,340.0,87.0,1
27312,L'innocenza del diavolo,1993,9,"Drama, Thriller",87,USA,English,17000000,60613008,43613008,51.0,170.0,45.0,0
27320,Ricomincio da capo,1993,4,"Comedy, Fantasy, Romance",101,USA,"English, French, Italian",14600000,70906973,56306973,129.0,778.0,72.0,0
27377,Nel centro del mirino,1993,9,"Action, Crime, Drama",128,USA,English,40000000,176997168,136997168,68.0,167.0,74.0,0
27380,Proposta indecente,1993,5,"Drama, Romance",117,USA,English,38000000,266614059,228614059,60.0,144.0,35.0,0
27393,Jason va all'inferno,1993,8,"Fantasy, Horror, Thriller",87,USA,English,3000000,15935068,12935068,141.0,358.0,17.0,0
27408,Jurassic Park,1993,9,"Action, Adventure, Sci-Fi",127,USA,"English, Spanish",63000000,1033758854,970758854,350.0,1157.0,68.0,0
27411,Kalifornia,1993,12,"Crime, Drama, Thriller",117,USA,English,9000000,2395231,-6604769,62.0,188.0,49.0,0
27427,Last Action Hero - L'ultimo grande eroe,1993,10,"Action, Adventure, Comedy",130,USA,English,85000000,137298489,52298489,117.0,313.0,44.0,0
27431,Leprechaun,1993,1,"Comedy, Fantasy, Horror",92,USA,English,900000,8556940,7656940,92.0,197.0,17.0,0
27457,"Lo sbirro, il boss e la bionda",1993,5,"Comedy, Crime, Drama",97,USA,English,19000000,11081586,-7918414,23.0,64.0,71.0,0
27482,Nella giungla di cemento,1993,5,"Crime, Drama, Thriller",97,USA,English,3500000,27912072,24412072,33.0,118.0,76.0,1
27501,Mrs. Doubtfire - Mammo per sempre,1993,2,"Comedy, Drama, Family",125,USA,English,25000000,441286195,416286195,62.0,286.0,53.0,0
27529,Nightmare Before Christmas,1993,12,"Animation, Family, Fantasy",76,USA,English,18000000,89140058,71140058,238.0,527.0,82.0,1
27562,Il rapporto Pelican,1993,3,"Crime, Drama, Mystery",141,USA,English,45000000,195268056,150268056,56.0,114.0,50.0,0
